title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
PPCA - Colombia's coal phase-out,"<div>In September 2023, Colombia joined the Powering Past Coal Alliance (PPCA), pledging to stop building new unabated coal power plants and phasing out unabated coal use in the power sector.<br>No statement over the enforcement year of this phase-out have been announced yet. </div>",Announced,2023,National,International Energy Agency,,,https://poweringpastcoal.org/press-releases/colombia-and-panama-join-ppca/,,1714643313009,"[{""iso3"":""COL"",""name"":""Colombia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
"COP26 ""End of Coal Sight"" initiative","<div>More than 40 countries pledged to phase out coal use for power generation at COP26, with at least 23 countries making new commitments. No clear common target date has been agreed for these pledges.  </div>",Announced,2021,International,International Energy Agency,,,https://unfccc.int/news/end-of-coal-in-sight-at-cop26,,1722420566376,"[{""iso3"":""EGY"",""name"":""Egypt""},{""iso3"":""HUN"",""name"":""Hungary""},{""iso3"":""IRL"",""name"":""Ireland""},{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""KOR"",""name"":""Korea""},{""iso3"":""IDN"",""name"":""Indonesia""},{""iso3"":""NLD"",""name"":""Netherlands""},{""iso3"":""NZL"",""name"":""New Zealand""},{""iso3"":""ISR"",""name"":""Israel""},{""iso3"":""POL"",""name"":""Poland""},{""iso3"":""PRT"",""name"":""Portugal""},{""iso3"":""SVK"",""name"":""Slovak Republic""},{""iso3"":""ESP"",""name"":""Spain""},{""iso3"":""BEL"",""name"":""Belgium""},{""iso3"":""GBR"",""name"":""United Kingdom""},{""iso3"":""LIE"",""name"":""Liechtenstein""},{""iso3"":""MDV"",""name"":""Maldives""},{""iso3"":""NPL"",""name"":""Nepal""},{""iso3"":""PHL"",""name"":""Philippines""},{""iso3"":""SGP"",""name"":""Singapore""},{""iso3"":""LKA"",""name"":""Sri Lanka""},{""iso3"":""MAR"",""name"":""Morocco""},{""iso3"":""VNM"",""name"":""Viet Nam""},{""iso3"":""SEN"",""name"":""Senegal""},{""iso3"":""ALB"",""name"":""Albania""},{""iso3"":""SOM"",""name"":""Somalia""},{""iso3"":""BRN"",""name"":""Brunei Darussalam""},{""iso3"":""CIV"",""name"":""Cote D'ivoire""},{""iso3"":""CHL"",""name"":""Chile""},{""iso3"":""HRV"",""name"":""Croatia""},{""iso3"":""CYP"",""name"":""Cyprus""},{""iso3"":""MUS"",""name"":""Mauritius""},{""iso3"":""KAZ"",""name"":""Kazakhstan""},{""iso3"":""AZE"",""name"":""Azerbaijan""},{""iso3"":""ZMB"",""name"":""Zambia""},{""iso3"":""BWA"",""name"":""Botswana""},{""iso3"":""ECU"",""name"":""Ecuador""},{""iso3"":""CAN"",""name"":""Canada""},{""iso3"":""DNK"",""name"":""Denmark""},{""iso3"":""FIN"",""name"":""Finland""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""}]",[],"[""Coal""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Mexico's coal phase-out,"<div>Mexico is a member of the Power Past Coal Alliance (PCCA) since 2017, which implies a phase-out from unabated coal by 2030 in OECD and EU countries. <br>No plan supports a federal strategy as of 2023. </div>",Announced,2017,International,International Energy Agency,,,https://poweringpastcoal.org/members/mexico/,,1715781845861,"[{""iso3"":""MEX"",""name"":""Mexico""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Morocco's coal phase-out,"<div>Morocco joined the Powering Past Coal Alliance in 2023 which pledges to phase-out coal use in the power sector by 2030 in advanced economies, and 2040 for emerging markets and developping economies. <br>No target year has been explicitly announced yet. </div>",Announced,2023,International,International Energy Agency,,,https://poweringpastcoal.org/members/morocco/,,1715781826465,"[{""iso3"":""MAR"",""name"":""Morocco""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
French strategy for energy and climate - coal phase-out,<div>The French strategy for energy and climate summarises the main objectives for the decade to phase down the dependance to fossil fuels. <br>This notably includes a phase-out of coal use in the power sector by 2027.</div>,In force,2023,National,International Energy Agency,2023-09-20,2027,https://energy.ec.europa.eu/system/files/2022-08/fr_final_necp_main_en.pdf,https://energy.ec.europa.eu/system/files/2022-08/fr_final_necp_main_en.pdfhttps://www.rfi.fr/en/france/20221129-france-reboots-coal-fired-power-plant-to-boost-winter-electricity-supplies,1709025745861,"[{""iso3"":""FRA"",""name"":""France""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
National Energy Strategy (SEN) 2017 - coal phase-out,"<div>Coal phase out was first introduced in the National Energy Strategy (SEN) in 2017. Gradual cessation of coal-fired electricity generation by 2028 for approximately 5 GW, offset by strong growth in renewable energy and a plan for infrastructure interventions (flexible generation, networks and storage systems). Despite a slowdown in the process linked to the 2021-2022 energy crisis and temporary maximization of production made necessary by the energy crisis following the Russian-Ukrainian conflict, the phase-out is confirmed within the limits of security of supply needs and provided that replacement plants and the necessary infrastructure are built in time. The actions already implemented and planned are adequate to allow the phase-out of coal-fired power plants still in operation on the Continent. For Sardinia, however, the development of RES, storage and new interconnections with the continent (Tyrrhenian link, SACOI 3) are essential to guarantee the technical safety conditions of the network needed to complete the abandonment of coal in electricity production (total approximately 1,000 MW) and to date there are technical difficulties in fully achieving this objective by 2025.</div>",In force,2021,National,International Energy Agency,2017-11-10,2028,https://www.mase.gov.it/sites/default/files/PNIEC_2024_revfin_01072024%20errata%20corrige%20pulito.pdf,https://www.mise.gov.it/images/stories/documenti/BROCHURE_ENG_SEN.PDF,1709025746012,"[{""iso3"":""ITA"",""name"":""Italy""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
National Resilience and Recovery Plan (NNRP) - coal phase-out,"<div>In its National Resilience and Recovery Plan, the Bulgarian government announced the phase-out of coal use in the electricity sector by 2038 or 2040. </div>",Announced,2020,National,International Energy Agency,,2038,https://www.mlsp.government.bg/natsionalen-plan-za-vzstanovyavane,https://beyondfossilfuels.org/wp-content/uploads/2022/01/overview-of-national-coal-phase-out-commitments-13-January-2022.pdf,1709025746085,"[{""iso3"":""BGR"",""name"":""Bulgaria""}]",[],"[""Coal""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Israel's updated Nationally Determined Contribution (NDC) - coal phase-out,"<div>In its updated first NDC, Israel committed to a complete phase out of coal-fired power generation by 2026.</div>",In force,2021,National,International Energy Agency,2021-07-29,2026,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20update%20as%20submitted%20to%20the%20UNFCCC.docx,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20update%20as%20submitted%20to%20the%20UNFCCC.docx,1709025746216,"[{""iso3"":""ISR"",""name"":""Israel""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
PPCA - Singapore's coal phase out,"<div>By joining the Powering Past Coal Alliance (PPCA) in 2021, Singapore committed to phasing out the use of unabated coal in its electricity mix by 2050, and to restrict direct government finance of unabated coal power internationally.</div>",Announced,2021,National,International Energy Agency,,2050,https://www.nccs.gov.sg/media/speeches/singapores-national-statement-at-unfccc-cop28-by-senior-minister-teo-chee-hean/,https://www.nccs.gov.sg/media/press-release/sg-phase-out-unabated-coal,1709025746345,"[{""iso3"":""SGP"",""name"":""Singapore""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Thailand long-term low emission development strategy - coal phase-out,"<div>In its long-term strategy (LT-LEDS) submitted to the UNFCCC, Thailand set a timeline to reach carbon neutrality by 2050 and climate neutrality by 2065.<br>This strategy includes a phase-out of coal in the electricity sector by 2050.</div>",In force,2022,National,International Energy Agency,2022-11-08,2050,,https://unfccc.int/sites/default/files/resource/Thailand%20LT-LEDS%20%28Revised%20Version%29_08Nov2022.pdf,1709025746382,"[{""iso3"":""THA"",""name"":""Thailand""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Belgium coal phase-out,"<div>The last active coal power plant, Langerlo, was converted to burn biomass from 2017 onwards. </div>",Achieved,2017,National,International Energy Agency,2016-06-08,2017,https://www.powerengineeringint.com/coal-fired/belgium-s-langerlo-plant-to-be-converted-to-biomass/,,1709029511735,"[{""iso3"":""BEL"",""name"":""Belgium""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
LAW no. 2019-1147 relating to energy and climate - coal phase-out,"<div>The French government promulgated in 2019 a law relating to energy and climate, setting in a legal framework key milestones and objectives to reach climate neutrality by 2050. <br><br>This includes the shutdown of coal-fired power plants by January 1st, 2022. </div>",Ended,2019,National,International Energy Agency,2019-11-08,2022,https://www.legifrance.gouv.fr/dossierlegislatif/JORFDOLE000038430994/,,1709032366785,"[{""iso3"":""FRA"",""name"":""France""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
"G7 Climate, Energy and Environment Ministers’ Meeting Communiqué - coal phase-out","<div>In the communiqué steming from the G7 Ministers' meeting in Italy, G7 members commits to phase out existing unabated coal power generation in their energy systems during the first half of 2030s or in a timeline consistent with keeping a limit of 1.5°C temperature rise within reach, in line with countries’ net-zero pathways.</div>",Announced,2024,International,International Energy Agency,2024-04-30,2035,https://www.g7italy.it/wp-content/uploads/G7-Climate-Energy-Environment-Ministerial-Communique_Final.pdf?utm_source=newsletter&utm_medium=email&utm_campaign=newsletter_axiosgenerate&stream=top,,1716294308399,"[{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""GBR"",""name"":""United Kingdom""},{""iso3"":""USA"",""name"":""United States""},{""iso3"":""CAN"",""name"":""Canada""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
COP26 - Croatia coal phase-out,"<div>At COP26, Croatia pledged to phase out the use of coal for power generation by 2033 at the latest.</div>",Announced,2021,National,International Energy Agency,,2033,https://vlada.gov.hr/news/croatia-will-reduce-co2-emissions-by-45-by-2030-our-coal-phase-out-year-is-2033/33278,,1726491745448,"[{""iso3"":""HRV"",""name"":""Croatia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Law n°334 regarding the decarbonisation of the energy sector ,<div>The law sets in Romanian legislation the phased out of available installed power generation capacity based on lignite and coal by 31 December 2032 at the latest. </div>,In force,2022,National,International Energy Agency,2022-11-29,2032,https://legislatie.just.ro/Public/DetaliiDocument/262164,,1726492294183,"[{""iso3"":""ROU"",""name"":""Romania""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
2023 Updated national energy and climate plan (NECP) - coal phase-out,"<div>In its updated national energy and climate plan submitted to the European Commission, Slovenia pledged to phasing out of domestic and imported coal for energy purposes and the cessation of operation of all coal units by 2033 at the latest.</div>",In force,2023,National,International Energy Agency,2023-11-13,2033,https://commission.europa.eu/document/download/88f140fc-424f-4740-8b6f-6d4d89b2a701_en?filename=EN_SLOVENIA%20DRAFT%20UPDATED%20NECP.pdf,,1726492901660,"[{""iso3"":""SVN"",""name"":""Slovenia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Decision No. 266/QD-TTg approving Global Coal-to-Clean Power Transition Statement,"<div>The plan establishes targets and objectives to phase out coal for power generation split in three phases (2025- 2030; 2031 - 2040; 2041 - 2050), with the objective to decommissioning and using carbon capture for current installations. </div>",In force,2025,National,International Energy Agency,2025-02-12,,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-266-QD-TTg-2025-thuc-hien-Tuyen-bo-toan-cau-chuyen-doi-dien-than-sang-nang-luong-sach-643339.aspx,,1750778212317,"[{""iso3"":""VNM"",""name"":""Viet Nam""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
G20 summit - coal phase out announcement,"<div>President Prabowo Subianto announced a plan to phase out coal-fired and all fossil-fueled power plants within the next 15 years, in 2040.</div>",Announced,2024,National,International Energy Agency,2024-11-19,2040,https://setkab.go.id/en/g20-summit-president-prabowo-subianto-highlights-indonesias-green-energy-vision-global-climate-role/,,1750778213496,"[{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
